steps,w1,w2,w3,w4,second,last
1,1.0,1.0,1.0,1.0,10.0,1.0
2,1.0,1.0,1.0,1.888,10.0,1.444
3,1.0,1.0,1.0,1.888,10.0,1.444
4,1.0,1.0,1.0,1.888,10.0,1.444
5,1.0,1.0,1.9315120000000001,1.888,10.0,1.909756
6,1.0,1.0,1.9315120000000001,1.888,10.0,1.909756
7,1.0,1.0,1.9315120000000001,1.888,10.0,1.909756
8,1.0,1.977156088,1.9315120000000001,1.888,10.0,2.398334044
9,1.0,1.977156088,1.9315120000000001,1.888,10.0,2.398334044
10,1.0,1.977156088,2.7702463363120002,1.888,10.0,2.817701212156
11,1.0,1.977156088,2.7702463363120002,1.888,10.0,2.817701212156
12,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
13,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
14,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
15,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
16,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
17,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
18,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
19,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
20,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
21,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
22,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
23,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
24,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
25,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
26,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
27,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
28,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
29,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
30,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
31,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
32,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
33,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
34,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
35,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
36,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
37,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
38,2.066134718791288,1.977156088,2.7702463363120002,1.888,10.0,3.3507685715516438
39,2.066134718791288,1.977156088,2.7702463363120002,2.8287753200120607,10.0,3.821156231557674
40,2.066134718791288,1.977156088,2.7702463363120002,2.8287753200120607,10.0,3.821156231557674
41,2.066134718791288,1.977156088,2.7702463363120002,2.8287753200120607,10.0,3.821156231557674
42,2.066134718791288,1.977156088,2.7702463363120002,2.8287753200120607,10.0,3.821156231557674
43,2.066134718791288,1.977156088,2.7702463363120002,2.8287753200120607,10.0,3.821156231557674
