steps,w1,w2,w3,w4,second,last
1,1,1,1,1,10,1
2,1,1,1,1,10,1
3,1,1,1,1,10,1
4,1,1,1,1,10,1
5,1,1,1,1,10,1
6,1,1,1,1,10,1
7,1,1,1,1,10,1
8,1.888,1,1,1,10,1.444
9,1.888,1,1,1,10,1.444
10,1.888,1,1,1,10,1.444
11,1.888,1,1,1,10,1.444
12,1.888,1,1,1,10,1.444
13,1.888,1,1,1,10,1.444
14,1.888,1,1,1,10,1.444
15,1.888,1,1,1,10,1.444
16,1.888,1,1,1,10,1.444
17,1.888,1,1,1,10,1.444
18,1.888,1,1,1,10,1.444
19,1.888,1,1,1,10,1.444
20,1.888,1.931512,1,1,10,1.909756
21,1.888,1.931512,1,1,10,1.909756
22,1.888,1.931512,1,1,10,1.909756
23,1.888,1.931512,1,1,10,1.909756
24,1.888,1.931512,1,1,10,1.909756
25,2.687556088,1.931512,1,1,10,2.309534044
26,2.687556088,1.931512,1,1,9.992690466,2.294914976
27,2.687556088,1.931512,1,1,9.992690466,2.294914976
28,3.364222894,1.931512,1,1,9.992690466,2.633248379
29,3.364222894,1.931512,1,1,9.985060872,2.617989192
30,3.364222894,1.931512,1,1,9.985060872,2.617989192
31,3.364222894,1.931512,1,1,9.985060872,2.617989192
32,3.364222894,1.931512,2.045083967,1,9.985060872,3.140531175
33,3.364222894,1.931512,2.045083967,1,9.985060872,3.140531175
34,3.364222894,1.931512,2.045083967,1,9.985060872,3.140531175
35,3.364222894,1.931512,2.045083967,2.096293082,9.985060872,3.688677716
36,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
37,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
38,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
39,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
40,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
41,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
42,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
43,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
44,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
45,3.364222894,1.931512,2.045083967,2.096293082,9.976379664,3.6713153
46,3.364222894,2.892660086,2.045083967,2.096293082,9.976379664,4.151889343
47,3.364222894,2.892660086,2.045083967,2.096293082,9.976379664,4.151889343
48,3.364222894,2.892660086,2.045083967,2.096293082,9.976379664,4.151889343
49,3.364222894,2.892660086,2.045083967,2.096293082,9.976379664,4.151889343
50,3.364222894,2.892660086,2.045083967,2.096293082,9.976379664,4.151889343
51,3.364222894,2.892660086,2.045083967,2.096293082,9.976379664,4.151889343
52,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
53,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
54,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
55,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
56,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
57,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
58,3.364222894,2.892660086,3.030613916,2.096293082,9.976379664,4.644654317
59,4.134216025,2.892660086,3.030613916,2.096293082,9.976379664,5.029650883
60,4.134216025,2.892660086,3.030613916,2.096293082,9.976379664,5.029650883
61,4.134216025,2.892660086,3.030613916,2.096293082,9.976379664,5.029650883
62,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
63,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
64,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
65,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
66,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
67,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
68,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
69,4.134216025,2.892660086,3.905058506,2.096293082,9.976379664,5.466873178
70,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
71,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
72,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
73,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
74,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
75,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
76,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
77,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
78,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
79,4.134216025,2.892660086,4.647461963,2.096293082,9.976379664,5.838074906
80,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
81,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
82,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
83,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
84,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
85,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
86,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
87,4.134216025,2.892660086,4.647461963,3.236827393,9.976379664,6.408342062
88,4.134216025,3.929807178,4.647461963,3.236827393,9.976379664,6.926915608
89,4.134216025,3.929807178,4.647461963,3.236827393,9.976379664,6.926915608
90,4.134216025,4.810345059,4.647461963,3.236827393,9.976379664,7.367184548
91,4.134216025,4.810345059,4.647461963,3.236827393,9.976379664,7.367184548
92,5.017018493,4.810345059,4.647461963,3.236827393,9.976379664,7.808585782
93,5.017018493,4.810345059,4.647461963,3.236827393,9.976379664,7.808585782
94,5.017018493,4.810345059,4.647461963,3.236827393,9.976379664,7.808585782
95,5.017018493,4.810345059,4.647461963,3.236827393,9.976379664,7.808585782
96,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
97,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
98,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
99,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
100,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
101,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
102,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
103,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
104,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
105,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
106,5.017018493,4.810345059,5.470872564,3.236827393,9.976379664,8.220291082
107,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
108,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
109,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
110,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
111,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
112,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
113,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
114,5.017018493,4.810345059,6.169948164,3.236827393,9.976379664,8.569828882
115,5.841119611,4.810345059,6.169948164,3.236827393,9.976379664,8.981879442
116,5.841119611,4.810345059,6.169948164,3.236827393,9.962409595,8.953939303
117,5.841119611,4.810345059,6.169948164,3.236827393,9.962409595,8.953939303
118,5.841119611,4.810345059,6.169948164,3.236827393,9.962409595,8.953939303
119,5.841119611,5.712040648,6.169948164,3.236827393,9.962409595,9.404787098
120,5.841119611,5.712040648,6.169948164,3.236827393,9.962409595,9.404787098
121,5.841119611,5.712040648,6.169948164,3.236827393,9.962409595,9.404787098
122,5.841119611,5.712040648,6.169948164,3.236827393,9.962409595,9.404787098
123,5.841119611,5.712040648,6.169948164,3.236827393,9.962409595,9.404787098
124,5.841119611,6.477580204,6.169948164,3.236827393,9.962409595,9.787556876
125,5.841119611,6.477580204,6.169948164,3.236827393,9.962409595,9.787556876
126,5.841119611,6.477580204,6.169948164,3.236827393,9.962409595,9.787556876
127,5.841119611,6.477580204,6.881417655,3.236827393,9.962409595,10.14329162
128,5.841119611,6.477580204,6.881417655,3.236827393,9.962409595,10.14329162
129,5.841119611,6.477580204,6.881417655,3.236827393,9.962409595,10.14329162
130,5.841119611,7.162385292,6.881417655,3.236827393,9.962409595,10.48569417
131,5.841119611,7.162385292,6.881417655,3.236827393,9.962409595,10.48569417
132,5.841119611,7.162385292,7.519010702,3.236827393,9.962409595,10.80449069
133,5.841119611,7.162385292,7.519010702,3.236827393,9.946623899,10.7729193
134,5.841119611,7.162385292,7.519010702,3.236827393,9.946623899,10.7729193
135,6.713357546,7.162385292,7.519010702,3.236827393,9.946623899,11.20903827
136,6.713357546,7.162385292,7.519010702,3.236827393,9.930441549,11.17667357
137,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
138,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
139,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
140,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
141,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
142,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
143,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
144,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
145,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
146,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
147,6.713357546,7.162385292,7.519010702,3.236827393,9.914299655,11.14438978
148,6.713357546,7.162385292,7.519010702,4.663127778,9.914299655,11.85753997
149,6.713357546,7.162385292,7.519010702,4.663127778,9.897484965,11.82391059
150,6.713357546,7.162385292,7.519010702,4.663127778,9.880712312,11.79036528
151,6.713357546,7.162385292,7.519010702,4.663127778,9.880712312,11.79036528
152,6.713357546,7.162385292,7.519010702,4.663127778,9.880712312,11.79036528
153,6.713357546,7.162385292,7.519010702,4.663127778,9.880712312,11.79036528
154,6.713357546,7.162385292,8.148854878,4.663127778,9.880712312,12.10528737
155,6.713357546,7.162385292,8.148854878,4.663127778,9.880712312,12.10528737
156,6.713357546,7.162385292,8.148854878,4.663127778,9.880712312,12.10528737
157,6.713357546,7.162385292,8.148854878,4.663127778,9.880712312,12.10528737
158,6.713357546,7.162385292,8.148854878,4.663127778,9.880712312,12.10528737
159,6.713357546,7.162385292,8.148854878,4.663127778,9.880712312,12.10528737
160,6.713357546,7.162385292,8.683592584,4.663127778,9.880712312,12.37265622
161,6.713357546,7.162385292,8.683592584,4.663127778,9.880712312,12.37265622
162,6.713357546,7.162385292,9.137584896,4.663127778,9.880712312,12.59965238
163,6.713357546,7.162385292,9.137584896,4.663127778,9.880712312,12.59965238
164,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
165,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
166,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
167,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
168,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
169,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
170,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
171,6.713357546,7.162385292,9.523024369,4.663127778,9.880712312,12.79237212
172,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
173,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
174,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
175,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
176,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
177,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
178,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
179,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
180,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
181,6.713357546,7.162385292,9.523024369,5.962345209,9.880712312,13.44198083
182,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
183,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
184,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
185,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
186,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
187,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
188,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
189,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
190,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
191,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
192,6.713357546,7.162385292,9.523024369,7.065380808,9.880712312,13.99349863
