steps,w1,w2,w3,w4,w5,second,last
1,1.0,1.0,1.0,1.0,1.0,10.0,1.0
2,1.0,1.0,1.0,1.0,1.0,10.0,1.0
3,1.0,1.0,1.0,1.0,1.0,10.0,1.0
4,1.0,1.0,1.0,1.0,1.0,10.0,1.0
5,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
6,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
7,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
8,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
9,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
10,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
11,2.0656,1.0,1.0,1.0,1.0,10.0,1.5328
12,2.9381132799999996,1.0,1.0,1.0,1.0,10.0,1.9690566399999998
13,2.9381132799999996,1.0,1.0,1.0,1.0,9.991637132032,1.9523309040639998
14,2.9381132799999996,1.0,1.0,1.0,1.0,9.991637132032,1.9523309040639998
15,2.9381132799999996,1.0,1.0,1.0,2.176600605603328,9.991637132032,2.5406312068656636
16,2.9381132799999996,1.0,1.0,1.0,2.176600605603328,9.991637132032,2.5406312068656636
17,2.9381132799999996,1.0,1.0,1.0,2.176600605603328,9.991637132032,2.5406312068656636
18,2.9381132799999996,1.0,1.0,1.0,2.176600605603328,9.991637132032,2.5406312068656636
19,2.9381132799999996,1.0,1.0,1.0,2.176600605603328,9.991637132032,2.5406312068656636
20,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.991637132032,3.1635235674720654
21,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.981845921471814,3.1439411463516937
22,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
23,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
24,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
25,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
26,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
27,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
28,2.9381132799999996,2.2457847212128037,1.0,1.0,2.176600605603328,9.97208408454331,3.124417472494683
29,2.9381132799999996,2.2457847212128037,1.0,1.0,3.206331544267649,9.97208408454331,3.6392829418268438
30,2.9381132799999996,2.2457847212128037,1.0,1.0,3.206331544267649,9.97208408454331,3.6392829418268438
31,2.9381132799999996,2.2457847212128037,1.0,1.0,3.206331544267649,9.97208408454331,3.6392829418268438
32,2.9381132799999996,2.2457847212128037,1.0,1.0,4.049475236845995,9.97208408454331,4.060854788116017
33,2.9381132799999996,2.2457847212128037,1.0,1.0,4.049475236845995,9.97208408454331,4.060854788116017
34,2.9381132799999996,2.2457847212128037,1.0,1.0,4.049475236845995,9.97208408454331,4.060854788116017
35,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
36,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
37,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
38,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
39,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
40,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
41,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
42,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
43,2.9381132799999996,2.2457847212128037,2.4222401123261887,1.0,4.049475236845995,9.97208408454331,4.771974844279111
44,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,4.049475236845995,9.97208408454331,5.354239946265452
45,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,4.049475236845995,9.97208408454331,5.354239946265452
46,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,4.049475236845995,9.97208408454331,5.354239946265452
47,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,4.891943386927519,9.97208408454331,5.775474021306214
48,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,4.891943386927519,9.97208408454331,5.775474021306214
49,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,4.891943386927519,9.97208408454331,5.775474021306214
