steps,w1,w2,w3,w4,w5,w6,second,last
1,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
8,2.2432,1.0,1.0,1.0,1.0,1.0,10.0,1.6216
9,2.2432,1.0,1.0,1.0,1.0,1.0,10.0,1.6216
10,2.2432,1.0,1.0,1.0,1.0,1.0,10.0,1.6216
11,2.2432,1.0,1.0,1.0,1.0,1.0,10.0,1.6216
12,2.2432,1.0,1.0,1.0,1.0,1.0,10.0,1.6216
13,2.2432,1.0,1.0,1.0,1.0,1.0,10.0,1.6216
14,2.2432,1.0,1.0,1.0,2.32848352,1.0,10.0,2.28584176
15,2.2432,1.0,1.0,1.0,2.32848352,1.0,10.0,2.28584176
16,2.2432,1.0,1.0,1.0,2.32848352,1.0,10.0,2.28584176
17,2.2432,1.0,1.0,1.0,2.32848352,1.0,10.0,2.28584176
18,2.2432,1.0,1.0,2.4196174894720004,2.32848352,1.0,10.0,2.995650504736
19,2.2432,1.0,1.0,2.4196174894720004,2.32848352,1.0,10.0,2.995650504736
20,2.2432,1.0,1.0,2.4196174894720004,2.32848352,1.0,10.0,2.995650504736
21,2.2432,1.0,1.0,2.4196174894720004,2.32848352,1.0,10.0,2.995650504736
22,2.2432,1.0,1.0,2.4196174894720004,2.32848352,1.0,10.0,2.995650504736
23,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,1.0,10.0,3.56816443656089
24,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,1.0,10.0,3.56816443656089
25,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,1.0,10.0,3.56816443656089
26,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,1.0,10.0,3.56816443656089
27,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,1.0,10.0,3.56816443656089
28,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,4.365940516908967
29,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,4.365940516908967
30,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,4.365940516908967
31,2.2432,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,4.365940516908967
32,3.60011103891991,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.044396036368923
33,3.60011103891991,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.044396036368923
34,3.60011103891991,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.044396036368923
35,3.60011103891991,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.044396036368923
36,3.60011103891991,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.044396036368923
37,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
38,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
39,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
40,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
41,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
42,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
43,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
44,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
45,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
46,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
47,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,2.5955521606961542,10.0,5.579426059015043
48,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,10.0,6.2917973841660135
49,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.984191483662167,6.260180351490348
50,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
51,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
52,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
53,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
54,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
55,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
56,4.670171084212152,1.0,1.0,2.4196174894720004,3.4735113836497793,4.020294810998095,9.968438297131517,6.228673978429049
57,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.968438297131517,7.008027338814415
58,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.951649152049184,6.97444904864975
59,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.951649152049184,6.97444904864975
60,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.951649152049184,6.97444904864975
61,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.951649152049184,6.97444904864975
62,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.951649152049184,6.97444904864975
63,4.670171084212152,1.0,1.0,3.978324210242734,3.4735113836497793,4.020294810998095,9.951649152049184,6.97444904864975
64,4.670171084212152,1.0,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,7.656253945913162
65,4.670171084212152,1.0,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,7.656253945913162
66,4.670171084212152,1.0,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,7.656253945913162
67,4.670171084212152,1.0,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,7.656253945913162
68,4.670171084212152,1.0,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,7.656253945913162
69,4.670171084212152,1.0,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,7.656253945913162
70,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
71,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
72,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
73,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
74,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
75,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
76,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
