steps,w1,w2,w3,w4,w5,w6,w7,second,last
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
5,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
6,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
7,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
8,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
9,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
10,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
11,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
12,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
13,1.0,2.4208,1.0,1.0,1.0,1.0,1.0,10.0,1.7104
14,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,10.0,2.24916736
15,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.988401332224,2.225970024448
16,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
17,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
18,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
19,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
20,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
21,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
22,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
23,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
24,1.0,3.49833472,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.2028654782382078
25,1.0,4.304609807552217,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.6060030220143164
26,1.0,4.304609807552217,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.6060030220143164
27,1.0,4.304609807552217,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.6060030220143164
28,1.0,4.304609807552217,1.0,1.0,1.0,1.0,1.0,9.976849059119104,2.6060030220143164
29,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,1.0,9.976849059119104,3.440480104422472
30,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,1.0,9.976849059119104,3.440480104422472
31,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,1.0,9.976849059119104,3.440480104422472
32,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,1.0,9.976849059119104,3.440480104422472
33,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
34,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
35,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
36,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
37,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
38,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
39,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
